Invoice_No,Customer_ID,Customer_Industry,Invoice_Date,Due_Date,Invoice_Amount,Amount_Paid,Outstanding_Amount,Status,Last_Payment_Date,Aging_Bucket,Payment_Delay_Days,Partial_Payment_Flag,High_Risk_Flag,Payment_Consistency_Index,Credit_Utilization_Velocity,Negotiation_Frequency,Response_to_Reminder_Ratio
INV00033,CUST015,Technology,2022-07-18,2022-08-17,14959.221757797723,8679.72017142948,6475.8853262813345,Partially Paid,2022-10-29,90+,74.52368756804094,1,1,25.954108915071682,1.229423213803457,1,0.11114570669360149
INV00034,CUST002,Finance,2024-01-06,2024-02-20,14645.180493069945,0.0,14706.964124873015,Overdue,,90+,0.0,0,1,27.119872380143853,0.2932960754979643,2,0.9442661673318423
INV00035,CUST010,Finance,2023-12-06,2024-01-05,3060.611643917889,1356.4413512835401,1366.1731370636087,Partially Paid,2024-03-05,90+,62.25879404722444,1,1,27.383466994319097,0.29324318403168514,1,0.14311069015817657
INV00036,CUST007,Healthcare,2023-06-26,2023-07-26,13960.503456804146,10345.222566857143,3653.1618564670257,Partially Paid,2023-09-18,90+,52.06025772166046,1,1,24.72646321308532,0.6113002573024452,2,0.45599034915731673
INV00037,CUST002,Finance,2022-03-30,2022-04-29,14238.0161214968,10620.466111311112,3609.527981544376,Partially Paid,2022-07-27,90+,89.65921834904269,1,1,27.319102397202883,1.426174998179932,2,0.6743810197940683
INV00038,CUST007,Healthcare,2024-07-29,2024-08-28,3143.270945317768,0.0,3735.67131498458,Overdue,,90+,0.0,0,1,24.88279075890094,0.3782147129135506,3,0.20238944895769956
INV00039,CUST002,Finance,2022-09-13,2022-10-28,18710.056326255755,11533.878706020907,7015.801173655251,Partially Paid,2023-01-07,90+,70.33413987291691,1,1,27.440828427497323,0.5753815521030109,1,0.5004140155510901
INV00040,CUST011,Technology,2024-02-15,2024-03-16,10753.99854811553,0.0,10648.989039740438,Overdue,,90+,2.3311526591742306,0,1,27.591943720777746,0.6853266781254662,4,0.3459505646253843
INV00041,CUST010,Finance,2022-06-11,2022-06-26,15976.061234055163,11082.824513698368,4824.823511125674,Partially Paid,2022-07-23,90+,23.835402822613847,1,1,27.423884796444636,0.33789164843992664,5,0.8479426563457094
INV00042,CUST017,Retail,2023-08-24,2023-09-08,14603.154598047784,9889.026861812792,5162.551936954689,Partially Paid,2023-11-29,90+,87.91789656508571,1,1,28.423758042745863,0.45284976422565665,1,0.2794800253277098
INV00043,CUST013,Finance,2024-01-11,2024-01-26,3723.2355180552527,430.2133609015763,3614.943645140116,Overdue,,90+,0.0,0,1,25.202774312591927,1.2412936528521175,0,0.710352529393052
INV00044,CUST018,Finance,2023-01-29,2023-03-30,2890.4166725156756,2364.4465907936415,546.168256745599,Partially Paid,2023-04-19,90+,18.181706515419076,1,1,26.903949030294662,0.5333223213194043,0,0.3475702034411741
INV00045,CUST016,Retail,2022-05-23,2022-06-07,15315.850420523757,14458.386207723088,1289.1702344563328,Partially Paid,2022-08-20,90+,75.12630126449118,1,1,26.53540387143904,0.8220547602989806,0,0.8637808761727334
INV00046,CUST009,Technology,2022-04-04,2022-04-19,5538.339271240825,4297.45764008175,1072.623460115255,Partially Paid,2022-05-06,90+,18.77766787722502,1,1,25.357718738877,0.5221906651432816,4,0.1261275951594351
INV00047,CUST002,Finance,2023-04-12,2023-06-11,17655.462046562483,0.0,18063.403833876888,Overdue,,90+,0.0,0,1,27.52366431123785,1.340037071128468,0,0.4801544913372825
INV00048,CUST007,Healthcare,2023-08-16,2023-09-30,15840.373840608005,13987.944514585817,1552.3593913442774,Partially Paid,2023-11-16,90+,46.82539939122202,1,1,24.651529079379632,1.078745476813318,4,0.42722689464148117
INV00049,CUST010,Finance,2022-06-13,2022-07-28,1169.1473221721017,1112.0604549020009,260.94753025236173,Partially Paid,2022-07-28,90+,1.24902276994459,1,1,27.35652802741129,0.3547773796711624,3,0.6096365200701883
INV00050,CUST012,Healthcare,2023-04-22,2023-06-21,15742.46441269013,317.73672719265096,16526.079800895805,Overdue,,90+,0.0,0,1,21.818867693033045,0.34385301480038044,3,0.7918758693058622
INV00051,CUST002,Finance,2022-07-26,2022-09-09,5894.8201862262285,5468.453275933635,0.0,Partially Paid,2022-10-21,90+,46.23849653430749,1,1,27.383054028904226,0.9658258273799809,0,0.8244553526865693
INV00052,CUST011,Technology,2024-02-18,2024-04-18,1637.1343324479378,1078.8549691079315,443.55088145373566,Partially Paid,2024-05-22,90+,36.55356457853736,1,1,27.407768701093893,0.2691284137401686,1,0.6849690584431624
INV00053,CUST009,Technology,2023-07-24,2023-08-23,14199.80797225848,11374.820402195,2718.824441606973,Partially Paid,2023-11-04,90+,75.65540680060556,1,1,25.589923827232948,1.3131903100178624,2,0.4801320081486731
INV00054,CUST004,Finance,2024-07-17,2024-08-31,11916.841289173699,0.0,11556.517153767218,Overdue,,90+,0.0,0,1,25.953675385345683,0.7360223235808498,2,0.33496897353121224
INV00055,CUST012,Healthcare,2024-01-18,2024-03-18,2293.0026734129233,0.0,2419.458434297125,Overdue,,90+,0.0,0,1,21.384969077950654,1.3163987100125567,0,0.18113755354625696
INV00056,CUST014,Manufacturing,2022-11-30,2022-12-30,9638.430723370826,8912.885995624689,352.8841250096598,Partially Paid,2023-01-06,90+,6.085887873471798,1,1,26.12923493956773,1.4181341630918658,1,0.24344193308906067
INV00057,CUST013,Finance,2024-01-29,2024-02-28,7286.256531176946,7420.51939500708,205.09355988309423,Partially Paid,2024-04-14,90+,42.94064363737387,1,1,25.106372496091925,0.37139725424402603,5,0.7671097913265065
INV00058,CUST015,Technology,2023-12-29,2024-01-13,10155.384815898955,0.0,10291.477359857907,Overdue,,90+,1.095732975692343,0,1,25.854866928288477,0.6992333463426145,5,0.9497985080411092
INV00059,CUST013,Finance,2023-03-06,2023-05-05,11647.500552347476,8275.768918925976,3376.412999027202,Partially Paid,2023-07-23,90+,77.36431213235475,1,1,24.893032919681797,1.3495447923563457,1,0.6186960878136222
INV00060,CUST011,Technology,2023-07-01,2023-08-30,7944.437300538174,5169.997600512418,2334.6901820689845,Partially Paid,2023-11-20,90+,83.99394504165937,1,1,27.782359900071732,1.4512159594465293,0,0.9572183091930685
INV00061,CUST006,Healthcare,2022-05-27,2022-06-11,5339.915997046352,2915.2665495700408,2630.1860470547404,Partially Paid,2022-09-09,90+,86.74413992828443,1,1,24.399260119787204,0.6909250350923547,2,0.9300393829512779
INV00062,CUST016,Retail,2022-12-17,2023-01-31,2454.403869844501,0.0,2426.724430020973,Overdue,,90+,5.229863406764481,0,1,26.59110537704811,1.103547813970516,5,0.7853020148590238
INV00063,CUST016,Retail,2024-12-29,2025-02-27,11379.957243102583,7175.7187869973795,3865.3461916170963,Partially Paid,2025-05-07,0-30,66.27307351761219,1,0,26.6507509385284,0.8531500065538747,0,0.46266443873101326
INV00064,CUST012,Healthcare,2023-05-17,2023-06-16,14257.556540700449,11017.63967288637,3678.3781571895806,Partially Paid,2023-08-29,90+,74.66718683652648,1,1,21.542088852653904,0.5847807837860284,3,0.9713665802446361
INV00065,CUST017,Retail,2022-12-01,2023-01-30,5182.542180650442,190.81916094245778,4590.239349205003,Overdue,,90+,2.409085625881823,0,1,28.45015510240407,1.3433768137594715,5,0.7447275169920987
INV00066,CUST009,Technology,2024-08-04,2024-08-19,10803.748319614224,9063.015100052917,1363.4401210455076,Partially Paid,2024-09-16,90+,26.263931938530344,1,1,25.54127128052279,1.0848817699784028,3,0.2975858755237381
INV00067,CUST003,Retail,2024-02-17,2024-04-17,1338.4756947010865,1306.7484675685384,490.7299405868172,Partially Paid,2024-06-20,90+,66.59347832180296,1,1,26.55612891243213,0.9943285951650087,1,0.9853323994669339
INV00068,CUST014,Manufacturing,2023-07-07,2023-08-21,17609.513314618776,11198.231866784932,6266.908551469462,Partially Paid,2023-08-29,90+,4.260436041877838,1,1,26.336830328637475,1.060575814343015,5,0.6140464478482582
INV00069,CUST003,Retail,2023-03-26,2023-04-10,5370.517677346238,3421.5402627601993,1496.6498308413481,Partially Paid,2023-06-13,90+,68.41779976606563,1,1,26.94845488431595,1.1762620842593308,2,0.165322356186573
INV00070,CUST014,Manufacturing,2023-10-27,2023-11-11,9517.86741439147,5307.8021637623115,4420.934776714781,Partially Paid,2024-02-09,90+,90.04304652404616,1,1,26.361698248454505,0.510673274801915,0,0.14239800624789994
INV00071,CUST020,Retail,2022-04-25,2022-05-25,8069.800021094094,7478.089319447066,390.91168005410736,Partially Paid,2022-07-01,90+,35.18552850083226,1,1,28.027554289961042,1.280810005089001,0,0.39585997199841816
INV00072,CUST006,Healthcare,2023-04-15,2023-06-14,3859.467524255796,2019.2588862571915,1491.373368190003,Partially Paid,2023-09-08,90+,85.0897947425439,1,1,24.33050744286358,0.18171053926509517,0,0.5803880446672582
INV00073,CUST018,Finance,2022-03-07,2022-03-22,18647.53822568491,76.02217854430047,18706.202661573287,Overdue,,90+,2.4609873986804516,0,1,26.94140950655216,1.3134686931946211,4,0.4816630706608047
INV00074,CUST010,Finance,2023-10-09,2023-11-23,17661.26500198575,0.0,17612.797211836172,Overdue,,90+,0.0,0,1,27.633077688532165,0.588490393007908,5,0.3793232555124199
INV00075,CUST011,Technology,2024-04-01,2024-05-16,10543.63982275888,120.79054768259246,11104.84603375678,Overdue,,90+,0.0,0,1,27.930673450795318,0.4420170021045206,5,0.5104303305788029
INV00076,CUST004,Finance,2023-07-03,2023-08-17,18553.270864521324,17322.479988360374,1426.8182752061289,Partially Paid,2023-10-14,90+,57.326015839121474,1,1,26.262175322845152,0.705545085026343,5,0.8717774179309123
INV00077,CUST003,Retail,2022-05-16,2022-06-15,14967.475839299283,9972.202169949836,4738.63831044905,Partially Paid,2022-07-07,90+,18.419310260187405,1,1,26.648253012857317,0.26602746781698255,3,0.1419619418991157
INV00078,CUST011,Technology,2023-03-09,2023-04-23,8593.556603162377,8791.140490815204,320.98453939557356,Partially Paid,2023-05-06,90+,18.538668425531263,1,1,27.40349763809331,0.6832083299027122,0,0.9795990578641118
INV00079,CUST010,Finance,2023-10-07,2023-11-06,6800.962319826337,3576.824118461014,3064.273340081723,Partially Paid,2023-11-24,90+,16.276849119063964,1,1,27.21322603758858,0.7749357644622474,0,0.7526818104556134
INV00080,CUST010,Finance,2023-03-12,2023-04-26,8057.679971034764,7868.58035929488,478.91395804917227,Partially Paid,2023-07-01,90+,68.53004039928182,1,1,27.1116972773979,0.34506590185257807,5,0.8213909336883417
INV00081,CUST015,Technology,2024-10-19,2024-12-18,14483.792326275316,51.941050305950704,14833.87852283435,Overdue,,0-30,0.637274021973432,0,0,25.85611085308572,0.8390411303605885,4,0.9054876637504254
INV00082,CUST020,Retail,2024-03-21,2024-05-05,5890.024736245112,4398.0005830489235,1722.6928449526708,Partially Paid,2024-07-31,90+,84.0047370813321,1,1,28.139703370261213,1.0460049176162027,4,0.63868973977553
INV00083,CUST014,Manufacturing,2024-07-28,2024-09-11,2434.692869847162,879.6044199912903,403.80236601981585,Partially Paid,2024-10-25,90+,43.98188389757814,1,1,26.21935721204527,1.392902547959575,1,0.6196325098415078
INV00084,CUST006,Healthcare,2022-10-20,2022-11-19,7623.914031406331,6766.763121636061,750.7141078928282,Partially Paid,2022-11-21,90+,4.385183581870509,1,1,24.46569628980725,0.8025120780583471,0,0.627768042340133
INV00085,CUST015,Technology,2023-06-27,2023-08-26,10062.2825227108,5579.819850740769,4776.405203909452,Partially Paid,2023-09-24,90+,28.427249676405932,1,1,26.099723350498092,0.3082164021224546,5,0.4986284115280978
INV00086,CUST012,Healthcare,2022-10-13,2022-12-12,17946.650989445152,179.49233337529392,18162.286145291564,Overdue,,90+,3.629825664984114,0,1,21.605166463200618,1.1437546535587744,4,0.38928369328049317
INV00087,CUST015,Technology,2023-05-21,2023-06-20,4254.812508887483,2715.582757538248,1313.7321200057834,Partially Paid,2023-09-02,90+,77.10777181891287,1,1,26.20813261340155,1.384179338421599,3,0.5764659146202018
INV00088,CUST002,Finance,2023-06-23,2023-08-22,16277.103562084025,13225.281449590933,3156.956078834549,Partially Paid,2023-10-02,90+,43.795628641004136,1,1,27.640924421055804,1.3709745794817931,1,0.7006528264609732
INV00089,CUST012,Healthcare,2024-05-27,2024-07-11,19488.490644643352,16142.360424128476,2812.39652190152,Partially Paid,2024-09-16,90+,65.60157920934284,1,1,21.650010294905098,1.2049554838644385,4,0.6051620093762995
INV00090,CUST020,Retail,2024-03-28,2024-05-12,19248.988139199577,22.3085290495015,19139.027959878036,Overdue,,90+,0.0,0,1,27.781061064880866,0.4592436312650454,2,0.8422106776449783
INV00091,CUST014,Manufacturing,2024-01-12,2024-03-12,1871.3885082108827,924.7600561135746,205.13158182226647,Partially Paid,2024-03-28,90+,14.133273094213743,1,1,26.357165744899486,0.6439775078826682,2,0.708975797492377
INV00092,CUST009,Technology,2023-03-26,2023-05-10,9841.925539138741,0.0,9751.760129991999,Overdue,,90+,0.5970267990383762,0,1,25.54448276434535,0.6117538157920819,3,0.2379174890590071
INV00093,CUST002,Finance,2022-10-11,2022-12-10,5807.415853208408,5485.315120439058,610.0388204668897,Partially Paid,2023-01-08,90+,30.660455221172697,1,1,27.123687045432366,1.4969488702613962,4,0.7801609045484534
INV00094,CUST003,Retail,2024-11-09,2024-12-09,16882.30288205829,16960.13040721292,349.2256493393255,Partially Paid,2024-12-15,0-30,0.0,1,0,26.913886111573493,0.8136627997010143,5,0.87867179627696
INV00095,CUST013,Finance,2024-10-07,2024-11-06,6772.027187755212,3807.8755659468407,2255.1366822751293,Partially Paid,2024-11-27,31-60,20.975317083317275,1,0,25.336352346187237,1.1113530662454532,0,0.7488440008148018
INV00096,CUST012,Healthcare,2022-07-06,2022-08-05,10873.43353914675,6288.43182508143,5042.58177400652,Partially Paid,2022-10-12,90+,68.48095725507885,1,1,21.697094637788666,0.8338439233242103,2,0.7613937515078589
INV00097,CUST017,Retail,2022-04-07,2022-04-22,738.7309480382019,806.9612840157356,258.91620256386574,Partially Paid,2022-07-21,90+,89.15562288696438,1,1,28.16773396226154,0.5385593347701444,2,0.939514474752899
INV00098,CUST006,Healthcare,2022-08-13,2022-09-27,4486.553335698477,4209.715963168755,876.3191322613491,Partially Paid,2022-10-16,90+,22.928462043498463,1,1,24.214055196169742,0.2516403669285254,3,0.4162923526172425
INV00099,CUST001,Technology,2022-11-10,2022-12-10,11495.668973359043,6424.434909703617,5044.080657328472,Partially Paid,2023-01-19,90+,41.283187936078164,1,1,29.825793259500916,0.40437017887685656,1,0.8129490609205914
INV00100,CUST005,Retail,2022-11-24,2023-01-23,6360.215040080682,4441.21036576248,1935.723815207549,Partially Paid,2023-03-11,90+,50.98601677279961,1,1,27.486841387044738,0.7965343640346657,0,0.7733174423299849
INV00101,CUST020,Retail,2024-05-14,2024-07-13,12244.691758049908,9829.895632094258,2595.9928048681913,Partially Paid,2024-07-17,90+,3.3429800237131326,1,1,27.819901935911787,1.0189761213996176,2,0.2883215900661511
INV00102,CUST015,Technology,2022-05-11,2022-06-10,9428.196567821195,9797.719314836786,310.3337878452843,Partially Paid,2022-06-28,90+,20.852102036508683,1,1,26.041630947330027,0.6243245704426489,5,0.3833699140315427
INV00103,CUST002,Finance,2024-02-28,2024-03-29,11941.527007808681,9101.145798901482,3165.6090394909615,Partially Paid,2024-04-18,90+,24.97438736495788,1,1,27.43411895999626,0.21874532329676163,4,0.3063209920826884
INV00104,CUST005,Retail,2024-02-21,2024-03-22,9894.761855729495,5468.0746593862195,4702.562208365069,Partially Paid,2024-03-25,90+,6.990584934408992,1,1,27.795347890199103,0.9865620059257642,3,0.41894184509895194
INV00105,CUST003,Retail,2024-08-16,2024-10-15,15520.572729018844,11544.91476377877,3720.8397626221376,Partially Paid,2024-11-02,61-90,14.677361016482307,1,1,26.540681082401903,0.6732097098608386,3,0.2839807771702457
INV00106,CUST008,Manufacturing,2024-12-19,2025-01-03,4424.443598037161,0.0,4397.52258123531,Overdue,,0-30,0.0,0,0,27.25826201780707,1.439931350542885,2,0.960476645746868
INV00107,CUST012,Healthcare,2023-05-30,2023-06-29,18589.42992388585,31.767714794191534,17748.134233655688,Overdue,,90+,0.0,0,1,21.796228337537652,0.7138405253777111,3,0.31830950439256717
INV00108,CUST012,Healthcare,2022-01-24,2022-03-25,15378.527789538506,15521.35010719201,366.23086490568437,Partially Paid,2022-06-02,90+,70.48846651467954,1,1,21.745155384271524,0.7438585069051876,0,0.6316978041127127
INV00109,CUST013,Finance,2022-08-23,2022-10-22,5352.447030074699,83.66726800231092,5388.167713315719,Overdue,,90+,2.088103861338797,0,1,25.388251532458195,0.8300178267597383,1,0.935110952800016
INV00110,CUST019,Retail,2023-07-01,2023-07-31,603.4202399907792,467.06845983437887,0.0,Partially Paid,2023-09-29,90+,57.44782405644438,1,1,26.894310134020806,0.2563716447942428,3,0.2293640739551565
INV00111,CUST002,Finance,2023-11-28,2024-01-12,7955.740271391434,0.0,8216.735501085273,Overdue,,90+,0.20638614285962845,0,1,27.61727155734123,1.3495206759623073,4,0.683066413590326
INV00112,CUST020,Retail,2022-08-17,2022-10-16,5035.9987535117425,0.0,4975.4734284296765,Overdue,,90+,0.0,0,1,27.964644431254005,1.4162730194719073,2,0.43196527887374575
INV00113,CUST005,Retail,2023-08-25,2023-10-09,7272.209330672925,228.69737723316243,7183.018344166574,Overdue,,90+,4.386851226245001,0,1,27.743441765441123,1.0990122875907364,3,0.8194817171718355
INV00114,CUST015,Technology,2024-06-09,2024-07-24,17564.868807327195,0.0,16581.273560654612,Overdue,,90+,0.0,0,1,25.820605541096388,0.5336291210792276,2,0.8149004631652341
INV00115,CUST012,Healthcare,2022-11-20,2022-12-05,17551.23786923322,15794.361435951054,1857.6705554396424,Partially Paid,2023-01-30,90+,56.16995571399994,1,1,21.673895316638443,1.0261184851411476,5,0.8696008880872708
INV00116,CUST012,Healthcare,2024-07-18,2024-09-16,19129.168173726415,11418.553419924456,8513.053185457398,Partially Paid,2024-11-16,90+,60.05794796469404,1,1,21.821191671616347,0.29066551745340435,4,0.1359347922425624
INV00117,CUST015,Technology,2022-01-07,2022-01-22,518.7417912630115,77.36751234340194,481.86260397968266,Overdue,,90+,3.4865771250147874,0,1,26.138718617296043,0.3054212716312381,4,0.9921201506718706
INV00118,CUST003,Retail,2023-06-24,2023-07-24,12988.553336126613,10132.710001278036,2808.551321130034,Partially Paid,2023-09-01,90+,30.36741098874309,1,1,26.82320726607767,0.7143043789082245,1,0.4594702417817315
INV00119,CUST019,Retail,2024-10-22,2024-11-06,17377.220768165076,13683.506927311988,3513.5128131683387,Partially Paid,2024-12-04,31-60,27.94946610286275,1,0,26.811564550287407,0.6003508067121546,3,0.5929008050449526
INV00120,CUST005,Retail,2023-01-01,2023-01-31,14892.290816722743,8316.600954316962,7058.992027645538,Partially Paid,2023-02-07,90+,6.678065984333194,1,1,27.79521521514231,1.1235472412926002,0,1.0051308611294627
INV00121,CUST017,Retail,2024-11-05,2024-12-20,2749.6136079968514,1539.4134379014508,900.8184808542007,Partially Paid,2025-02-25,0-30,65.61989511724184,1,0,28.015105853734692,1.327853336743567,3,0.949551765954405
INV00122,CUST012,Healthcare,2022-08-06,2022-10-05,10575.470072137925,10110.491695509034,201.42808046944282,Partially Paid,2022-11-09,90+,40.25172527941663,1,1,21.437913924722512,0.8827708186032356,5,0.8834279988107214
INV00123,CUST013,Finance,2023-09-04,2023-09-19,5539.029119475663,3025.191091556596,2475.0775002710293,Partially Paid,2023-11-15,90+,54.300464089127985,1,1,25.24849710975963,1.0557137490488295,3,0.37954083939785677
INV00124,CUST011,Technology,2024-11-05,2025-01-04,9700.066319159067,9707.641907761865,127.92092146510934,Partially Paid,2025-03-10,0-30,67.34804725068872,1,0,27.595490230605122,0.5439449462425185,2,0.5704687960827347
INV00125,CUST009,Technology,2023-02-12,2023-03-29,1833.096941216241,1728.1346122329794,391.46830865492046,Partially Paid,2023-06-14,90+,78.0838332784539,1,1,25.701041047997474,1.3086978676839276,4,0.3854483031435902
INV00126,CUST008,Manufacturing,2022-11-10,2022-12-25,20557.12420082338,19656.1081375437,741.9035808405811,Partially Paid,2023-03-20,90+,88.83793921241781,1,1,27.325219446970326,0.3054086408753362,5,0.4109976098117659
INV00127,CUST004,Finance,2024-02-05,2024-03-21,14098.47403954888,8136.29783975736,5666.610408610645,Partially Paid,2024-05-14,90+,51.970200497996245,1,1,26.102525017477255,1.3919745755115607,0,0.17434827268007408
